text,Software,Hardware,Vulnerability
"['The threat actors behind a new ransomware group called Hunters International have acquired the source code and infrastructure from the now-dismantled Hive operation to kick-start its own efforts in the threat landscape.', '""It appears that the leadership of the Hive group made the strategic decision to cease their operations and transfer their remaining assets to another group, Hunters International,"" Martin Zugec, technical solutions director at Bitdefender, said in a report published last week.', 'Hive, once a prolific ransomware-as-a-service (RaaS) operation, was taken down as part of a coordinated law enforcement operation in January 2023.', ""While it's common for ransomware actors to regroup, rebrand, or disband their activities following such seizures, what can also happen is that the core developers can pass on the source code and other infrastructure in their possession to another threat actor."", 'Reports about Hunters International as a possible Hive rebrand surfaced last month after several code similarities were identified between the two strains. It has since claimed five victims to date.', 'The threat actors behind it, however, have sought to dispel these speculations, stating that it purchased the Hive source code and website from its developers.', '""The group appears to place a greater emphasis on data exfiltration,"" Zugec said. ""Notably, all reported victims had data exfiltrated, but not all of them had their data encrypted,"" making Hunters International more of a data extortion outfit.', ""Bitdefender's analysis of the ransomware sample reveals its Rust-based foundations, a fact borne out by Hive's transition to the programming language in July 2022 for its increased resistance to reverse engineering."", '""In general, as the new group adopts this ransomware code, it appears that they have aimed for simplification,"" Zugec said.', '""They have reduced the number of command line parameters, streamlined the encryption key storage process, and made the malware less verbose compared to earlier versions.""', 'The ransomware, besides incorporating an exclusion list of file extensions, file names, and directories to be omitted from encryption, runs commands to prevent data recovery as well as terminate a number of processes that could potentially interfere with the process.', '""While Hive has been one of the most dangerous ransomware groups, it remains to be seen if Hunters International will prove equally or even more formidable,"" Zugec noted.', '""This group emerges as a new threat actor starting with a mature toolkit and appears eager to show its capabilities, [but] faces the task of demonstrating its competence before it can attract high-caliber affiliates.""', 'Sign up for free and start receiving your daily dose of cybersecurity news, insights and tips.']","['group', 'Bitdefender', 'Hunters International', 'data recovery', 'toolkit', 'developers', 'Hive', 'command line']","['affiliates', 'command line parameters', 'ransomware', 'cyecurity', 'cybersecurity news', 'Hunters International', 'Hive', 'Hi']","['data recovery', 'exclusion list', 'ransomware', '##ybersecurity']"
"['Effective marketing operations today are driven by the use of Software-as-a-Service (SaaS) applications. Marketing apps such as Salesforce, Hubspot, Outreach, Asana, Monday, and Box empower marketing teams, agencies, freelancers, and subject matter experts to collaborate seamlessly on campaigns and marketing initiatives.', 'These apps serve as the digital command centers for marketing professionals. They house essential go-to-market strategies, and are often connected to live payment systems authorized to spend substantial budgets. Ensuring their security is a complex task, given the multitude of applications, application owners, configurations within each app, users, interconnected apps and more. In this article, we explore the top Marketing SaaS application use cases, from external users and publicly shared links to connected apps and credit cards — and how to ensure the security and integrity of the data stored within them.', ""Marketing departments frequently grant administrative or high-access permissions to agency and freelance partners who need access to sensitive reports and data in order to perform. However, managing these external users can be a daunting task. It's vital to closely monitor their permissions and trim them down to the minimum necessary level. Additionally, there's often a gap between the time an employee leaves an agency and when the agency notifies the client. During this period, former employees can retain their access."", 'Collaboration with agencies often requires sharing files, project management boards, and folders with various team members. Using one set of public links for all users is a tantalizing option, as it cuts down on administrative tasks every time a new user is introduced into the project.', 'However, this approach can inadvertently expose sensitive assets to former agency employees or other unintended recipients, as public links can be used by anyone.', ""Marketing budgets often involve significant sums of money, and this financial data is highly sensitive. It's not uncommon for external agencies to manage these budgets, and if left unsecured, it could lead to malicious activities like unauthorized data access or the running of negative campaigns. Organizations need to ensure that access configurations are tightly controlled, with Identity Threat Detection & Response (ITDR) mechanisms sending alerts when users exhibit anomalous behavior."", 'Marketing departments rely heavily on prospect and customer data, which is stored and analyzed in SaaS databases like Customer Relationship Management (CRM) systems, Marketing Automation Hubs, and Sales Development Representative (SDR) tools.', 'Protecting this sensitive data is highly important and requires robust access controls, multi-factor authentication (MFA), and constant monitoring of internal user behavior.', ""Learn more about securing your marketing team's SaaS apps."", 'Marketing teams utilize a wide array of connected applications to support their daily operations. These range from calendar apps, to video conferencing plugins, design, project management tools and ad optimization apps. Each of these applications requests different levels of permissions to access company data, some of which are quite intrusive. Organizations need visibility to quantify the risk from these applications.', 'SaaS apps hold the key to productive and efficient work. Any potential data leak or breach is not only a problem for the organization at large, but especially for the Marketing department, who retains the ultimate responsibility for ensuring the brand. Any reputational damage, especially if caused by a MarTech solution, would bring severe impact.', 'SaaS Security Posture Management (SSPM) platforms enable security teams to work collaboratively with Marketing and ensure the security of these applications. SSPMs monitor and manage internal and external users, ensure tight access controls across the SaaS stack, and safeguard sensitive data. The right SSPM solution will ensure that no operational workflows are disrupted and that all marketing stakeholders remain efficient and productive.', 'Get a live demo to learn how to secure your entire SaaS stack', 'Sign up for free and start receiving your daily dose of cybersecurity news, insights and tips.']","['Outreach', 'workflow', 'apps', 'Marketing Automation', 'stack', 'Salesforce', 'applications', 'public links', 'project management tools', 'Sales Development Representative', 'Asana', 'app', 'robust', 'CRM', 'Monday', 'video conferencing', 'Customer Relationship Management', 'Box', 'calendar apps', 'Identity Threat Detection & Response', 'SaaS', 'Hubspot']","['credit cards', 'public links', 'project management boards', 'platforms', 'multi - factor authentication', 'Mar', 'video conferencing', 'Marketing', 'multi-factor authentication', 'cybersecurity news', 'cyecurity', 'Marketing Automation', 'Box', 'digital command centers', 'Identity Threat Detection & Response', 'SSPMs', 'SaaS']","['unauthorized data access', 'Posture Management', 'data leak', 'prospect and', 'multi - factor authentication', '##ybersecurity']"
"['Cybersecurity researchers have discovered what they say is malicious cyber activity orchestrated by two prominent Chinese nation-state hacking groups targeting 24 Cambodian government organizations.', '""This activity is believed to be part of a long-term espionage campaign,"" Palo Alto Networks Unit 42 researchers said in a report last week.', '""The observed activity aligns with geopolitical goals of the Chinese government as it seeks to leverage their strong relations with Cambodia to project their power and expand their naval operations in the region.""', 'Targeted organizations span defense, election oversight, human rights, national treasury and finance, commerce, politics, natural resources, and telecommunications sectors.', 'The assessment stems from the persistent nature of inbound network connections originating from these entities to a China-linked adversarial infrastructure that masquerades as cloud backup and storage services over a ""period of several months.""', 'Some of the command-and-control (C2) domain names are listed below -', 'The tactic is likely an attempt on the part of the attackers to fly under the radar and blend in with legitimate network traffic.', ""What's more, the links to China are based on the fact that the threat actor's activity has been observed primarily during regular business hours in the country, with a drop recorded in late September and early October 2023, coinciding with the Golden Week national holidays, before resuming to regular levels on October 9."", 'China-nexus hacking groups such as Emissary Panda, Gelsemium, Granite Typhoon, Mustang Panda, RedHotel, ToddyCat, and UNC4191 have launched an array of espionage campaigns targeting public- and private sectors across Asia over the past year.', 'Last month, Elastic Security Labs detailed an intrusion set codenamed REF5961 that was found leveraging custom backdoors such as EAGERBEE, RUDEBIRD, DOWNTOWN, and BLOODALCHEMY in its attacks directed against the Association of Southeast Asian Nations (ASEAN) countries.', 'The malware families ""were discovered to be co-residents with a previously reported intrusion set, REF2924,"" the latter of which is assessed to be a China-aligned group owing to its use of ShadowPad and tactical overlaps with Winnti and ChamelGang.', 'The disclosures also follow a report from Recorded Future highlighting the shift in Chinese cyber espionage activity, describing it as more mature and coordinated, and with a strong focus on exploiting known and zero-day flaws in public-facing email servers, security, and network appliances.', 'Since the beginning of 2021, Chinese state-sponsored groups have been attributed to the exploitation of 23 zero-day vulnerabilities, including those identified in Microsoft Exchange Server, Solarwinds Serv-U, Sophos Firewall, Fortinet FortiOS, Barracuda Email Security Gateway, and Atlassian Confluence Data Center and Server.', 'The state-sponsored cyber operations have evolved ""from broad intellectual property theft to a more targeted approach supporting specific strategic, economic, and geopolitical goals, such as those related to the Belt and Road Initiative and critical technologies,"" the company said.', 'Sign up for free and start receiving your daily dose of cybersecurity news, insights and tips.']","['ShadowPad', 'Targeted organizations', 'Barracuda Email Security Gateway', 'Cambodia', 'Sophos Firewall', 'command-and-control', 'Solarwinds Serv-U', 'Microsoft Exchange Server', 'hacking', 'command', 'backup', 'Atlassian Confluence Data Center and Server', 'radar']","['Targeted organizations', 'RedHotel', 'cyecurity', 'Alto', 'network appliances', 'cybersecurity news', 'Belt and Road Initiative', 'radar', 'Palo Alto Networks', 'Solarwinds Serv-U', 'hacking', 'BLOODALCHEMY', 'ShadowPad', 'Golden Week', 'threat actor', 'command-and-control', 'Elastic Security', 'command - and - control', 'Chinese', 'backup and storage services']","['EA', '##ybersecurity', 'property theft', 'blend', 'zero - day']"
"['Malaysian law enforcement authorities have announced the takedown of a phishing-as-a-service (PhaaS) operation called BulletProofLink.', 'The Royal Malaysia Police said the effort, which was carried out with assistance from the Australian Federal Police (AFP) and the U.S. Federal Bureau of Investigation (FBI) on November 6, 2023, was based on information that the threat actors behind the platform were based out of the country.', ""To that end, eight individuals aged between 29 and 56, including the syndicate's mastermind, have been arrested across different locations in Sabah, Selangor, Perak, and Kuala Lumpur, New Straits Times reported."", 'Along with the arrests, authorities confiscated servers, computers, jewelry, vehicles, and cryptocurrency wallets containing approximately $213,000.', 'BulletProofLink, also called BulletProftLink, is known for offering ready-to-use phishing templates on a subscription basis to other actors for conducting credential harvesting campaigns. These templates mimic the login pages of well-known services like American Express, Bank of America, DHL, Microsoft, and Naver.', ""According to an analysis from Microsoft in September 2021, BulletProofLink actors also engaged in what's called double theft wherein the stolen credentials are sent to both their customers and the core developers, resulting in additional monetization avenues."", '""BulletProftLink is associated with the threat actor AnthraxBP who also went by the online nicknames TheGreenMY and AnthraxLinkers,"" cybersecurity firm Intel 471 said last week.', '""The actor maintained an active website advertising phishing services. The actor has an extensive underground footprint and operated on a number of clear web underground forums and Telegram channels using multiple handles.""', ""Believed to be active since at least 2015, BulletProftLink's online storefront is estimated to have no less than 8,138 active clients and 327 phishing pages templates as of April 2023."", 'Another noteworthy feature is its integration of the Evilginx2 phishing kit to facilitate adversary-in-the-middle (AiTM) attacks that make it possible for threat actors to steal session cookies and bypass multi-factor authentication protections.', '""PhaaS schemes like BulletProftLink provide the fuel for further attacks,"" Intel 471 said. ""Stolen login credentials are one of the primary ways that malicious hackers gain access to organizations.""', 'In a sign that threat actors are constantly updating tactics in response to disruptions and taking more sophisticated approaches, AiTM attacks have also been observed employing intermediary links to documents hosted on file-sharing solutions like DRACOON that contain the URLs to adversary-controlled infrastructure.', '""This new method can bypass email security mitigations since the initial link appears to be from a legitimate source and no files are delivered to the victim\'s endpoint as the hosted document containing the link can be interacted with via the file-sharing server within the browser,"" Trend Micro said.', 'The development comes as a 33-year-old Serbian and Croatian national, Milomir Desnica, pleaded guilty in the U.S. to operating a drug trafficking platform called Monopoly Market on the dark web and for conspiring to distribute over 30 kilograms of methamphetamine to U.S. customers.', 'The illicit marketplace, which was set up by Desnica in 2019, was taken offline in December 2021 as part of a coordinated exercise in partnership with Germany and Finland. Desnica was arrested in Austria in November 2022 and extradited to the U.S. to face drug trafficking charges in June 2023.', 'Sign up for free and start receiving your daily dose of cybersecurity news, insights and tips.']","['BulletP', 'syndicate', 'New Straits Times', 'Des', 'Desnica', 'servers', 'Monopoly Market', 'BulletProof', 'Telegram', 'BulletProofL', 'PhaaS', 'cryptocurrency wallets', 'cookies', 'DRACOON', 'phishing-as-a-service', 'browser', 'BulletProofLink', 'BulletProftLink', 'Bull', 'BulletProft']","['New Straits Times', 'platform', 'Intel 471', 'cyecurity', 'BullProofL', 'Desnica', 'Evilginx2 phishing kit', 'Monopoly', 'Monopoly Market', 'cybersecurity news', 'BulletProofLink.', 'BulletProofL', 'cryptocurrency wallets', 'DRACOON', 'Intel 47', 'BulletProofLink', 'BulletProftLink', 'endpoint', 'clear web']","['double theft', 'phing as - a - service', 'Stole log credentials', 'multi - factor authentication', 'AiTM', 'email', '##ybersecurity']"
"['Cybersecurity researchers have warned about a Windows version of a wiper malware that was previously observed targeting Linux systems in cyber attacks aimed at Israel.', 'Dubbed BiBi-Windows Wiper by BlackBerry, the wiper is the Windows counterpart of BiBi-Linux Wiper, which has been put to use by a pro-Hamas hacktivist group in the wake of the Israel-Hamas war last month.', '""The Windows variant [...] confirms that the threat actors who created the wiper are continuing to build out the malware, and indicates an expansion of the attack to target end user machines and application servers,"" the Canadian company said Friday.', 'Slovak cybersecurity firm ESET is tracking the actor behind the wiper under the name BiBiGun, noting that the Windows variant (bibi.exe) is designed to overwrite data in the C:\\Users directory recursively with junk data and append "".BiBi"" to the filename.', 'The BiBi-Windows Wiper artifact is said to have been compiled on October 21, 2023, two weeks after the onset of the war. The exact method by which it is distributed is currently unknown.', 'Besides corrupting all files with the exception of those with .exe, .dll, and .sys extensions, the wiper deletes shadow copies from the system, effectively preventing the victims from recovering their files.', 'Another notable similarity with its Linux variant is its multithreading capability.', '""For the fastest possible destruction action, the malware runs 12 threads with eight processor cores,"" Dmitry Bestuzhev, senior director of cyber threat intelligence at BlackBerry, said.', ""It's not immediately clear if the wiper has been deployed in real-world attacks, and if so, who the targets are."", 'The development comes as Security Joes, which first documented BiBi-Linux Wiper, said the malware is part of a ""larger campaign targeting Israeli companies with the deliberate intent to disrupt their day-to-day operations using data destruction.""', 'The cybersecurity firm said it identified tactical overlaps between the hacktivist group, who call themselves Karma, and another geopolitically motivated actor codenamed Moses Staff (aka Cobalt Sapling), which is suspected to be of Iranian origin.', '""Although the campaign has primarily centered around Israeli IT and government sectors up to this point, some of the participating groups, such as Moses Staff, have a history of simultaneously targeting organizations across various business sectors and geographical locations,"" Security Joes said.', 'Sign up for free and start receiving your daily dose of cybersecurity news, insights and tips.']","['Karma', 'Wiper', 'wipe', 'BlackBerry', 'BiBi-Linux', 'Linuxiper', 'Security Joe', 'BiBi-Windows Wiper', 'threads', 'application servers', 'Linux', 'Windows', 'BiBi-Linux Wiper']","['Moses Staff', 'Wiper', 'B W', 'wiper malware', 'Security Joe', 'cyecurity', 'cybersecurity news', 'BiBi - Windows Wiper', 'BiBi-Windows', 'threads', 'Linux', 'cy', 'wiper', 'file']","['wiper maware', 'data', 'wipe', 'junk data', 'ma', '##ybersecurity', 'corrupt', '##read', 'shadow']"
"['A sub-cluster within the infamous Lazarus Group has established new infrastructure that impersonates skills assessment portals as part of its social engineering campaigns.', 'Microsoft attributed the activity to a threat actor it calls Sapphire Sleet, describing it as a ""shift in the persistent actor\'s tactics.""', 'Sapphire Sleet, also called APT38, BlueNoroff, CageyChameleon, and CryptoCore, has a track record of orchestrating cryptocurrency theft via social engineering.', ""Earlier this week, Jamf Threat Labs implicated the threat actor to a new macOS malware family called ObjCShellz that's assessed to be a late-stage payload delivered in connection with another macOS malware known as RustBucket."", '""Sapphire Sleet typically finds targets on platforms like LinkedIn and uses lures related to skills assessment,"" the Microsoft Threat Intelligence team said in a series of posts on X (formerly Twitter).', '""The threat actor then moves successful communications with targets to other platforms.""', 'The tech giant said past campaigns mounted by the hacking crew involved sending malicious attachments directly or embedding links to pages hosted on legitimate websites like GitHub.', 'However, the swift detection and deletion of these payloads may have forced Sapphire Sleet to flesh out its own network of websites for malware distribution.', '""Several malicious domains and subdomains host these websites, which entice recruiters to register for an account,"" the company added. ""The websites are password-protected to impede analysis.""', 'Sign up for free and start receiving your daily dose of cybersecurity news, insights and tips.']","['portal', 'LinkedIn', 'Sapphire Sleet', 'macOS', 'Twitter', 'GitHub']","['platforms', 'subdomains', 'cyecurity', 'Lazarus Group', 'Sapphire Sleet', 'cybersecurity news', 'macOS', 'hacking crew', 'host']","['ma', '##ybersecurity', 'skills assessment']"
"[""While intended for convenience and efficient communication, email auto-forwarding rules can inadvertently lead to the unauthorized dissemination of sensitive information to external entities, putting confidential data at risk of exposure to unauthorized parties. Wing Security (Wing), a SaaS security company, announced yesterday that their SaaS shadow IT discovery methods now include a solution that solves for auto-email forwarding as well. While Wing's shadow IT solution is offered as a free tool that can be onboarded and used as a self-service, users willing to upgrade will be able to enjoy the company's new Gmail and Outlook integrations, which broaden the company's discovery capabilities and extend their data security features."", 'Auto-forwarding emails is a great way to save time on repetitive tasks and are therefore very popular among employees who regularly collaborate and share information with external business partners. Risk examples include:', '', '', ""For several reasons, it is essential for organizations to uncover SaaS Shadow IT applications. Shadow IT refers to the unauthorized use of IT systems within an organization, often for the sake of convenience or efficiency, without the explicit approval of the IT department. There are some SaaS applications that may pose significant risks to the organization's security, compliance, and overall efficiency:"", '', '', ""Wing's SaaS discovery entails the systematic identification, categorization, and analysis of an organization's SaaS usage to mitigate shadow IT risks. The company offers three distinct and non-intrusive discovery methods: Connecting to organizations' major SaaS applications (e.g., Google Drive, Salesforce, Slack, and others) to identify connected applications, scanning endpoints for SaaS signature hits and cross-checking them with Wing's extensive SaaS database of over 280,000 SaaS records. Their third and newly introduced capability involves connecting to business emails and conducting scans to detect clear indications of SaaS usage. Wing emphasizes that knowing is just the first step in solving and therefore offers customers the means to remediate and eliminate risky shares directly within their platform."", 'Sign up for free and start receiving your daily dose of cybersecurity news, insights and tips.']","['Auto - forwarding', 'Shadow IT', 'Google Drive', 'Salesforce', 'SaaS applications', 'A', 'Gmail', 'Outlook', 'shadow IT', 'SaaS', 'Slack']","['Shadow IT', 'endpoints', 'A', 'platform', 'cyecurity', 'cybersecurity news', 'Auto -', 'shadow IT', 'SaaS', 'Auto-forwarding emails']","['Shadow IT', 'email auto - forwarding', 'Auto - forwarding emails', 'shadow IT risks', '##ybersecurity', 'auto-email forwarding']"
"['The notorious Russian hackers known as Sandworm targeted an electrical substation in Ukraine last year, causing a brief power outage in October 2022.', 'The findings come from Google\'s Mandiant, which described the hack as a ""multi-event cyber attack"" leveraging a novel technique for impacting industrial control systems (ICS).', '""The actor first used OT-level living-off-the-land (LotL) techniques to likely trip the victim\'s substation circuit breakers, causing an unplanned power outage that coincided with mass missile strikes on critical infrastructure across Ukraine,"" the company said.', '""Sandworm later conducted a second disruptive event by deploying a new variant of CaddyWiper in the victim\'s IT environment.""', 'The threat intelligence firm did not reveal the location of the targeted energy facility, the duration of the blackout, and the number of people who were impacted by the incident.', ""The development marks Sandworm's continuous efforts to stage disruptive attacks and compromise the power grid in Ukraine since at least 2015 using malware such as Industroyer."", ""The exact initial vector used for the cyber-physical attack is presently unclear, and it's believed that the threat actor's use of LotL techniques decreased the time and resources required to pull it off."", ""The intrusion is thought to have happened around June 2022, with the Sandworm actors gaining access to the operational technology (OT) environment through a hypervisor that hosted a supervisory control and data acquisition (SCADA) management instance for the victim's substation environment."", 'On October 10, 2022, an optical disc (ISO) image file was used to launch malware capable of switching off substations, resulting in an unscheduled power outage.', '""Two days after the OT event, Sandworm deployed a new variant of CaddyWiper in the victim\'s IT environment to cause further disruption and potentially to remove forensic artifacts,"" Mandiant said.', 'CaddyWiper refers to a piece of data-wiping malware that first came to light in March 2022 in connection with the Russo-Ukrainian war.', 'The eventual execution of the attack, Mandiant noted, coincided with the start of a multi-day set of coordinated missile strikes on critical infrastructure across a number of Ukrainian cities, including the city in which the unnamed victim was situated.', '""This attack represents an immediate threat to Ukrainian critical infrastructure environments leveraging the MicroSCADA supervisory control system,"" the company said.', '""Given Sandworm\'s global threat activity and the worldwide deployment of MicroSCADA products, asset owners globally should take action to mitigate their tactics, techniques, and procedures against IT and OT systems.""', 'Sign up for free and start receiving your daily dose of cybersecurity news, insights and tips.']","['MicroSCADA', 'Sand', 'land', 'CaddyWiper', 'C', ""Google ' s"", 'Sandworm', 'blackout', 'ha', 'file', 'hypervisor']","['Mandiant', 'industrial control systemsCS', 'optical disc', 'MicroSCADA', 'circuit breakers', 'Industroyer', 'cyecurity', 'CaddyWiper', 'MicroSCAD', 'LotL', 'cybersecurity news', 'circuit break', 'Sandworm', 'blackout', 'industrial control systems', '- physical']","['power out', 'multi - event cyber attack', 'Sand', 'OT', '##SC', '##ybersecurity', 'Sandworm', 'Sand out', 'blackout', 'data wiping']"
"['There is a seemingly never-ending quest to find the right security tools that offer the right capabilities for your organization.', ""SOC teams tend to spend about a third of their day on events that don't pose any threat to their organization, and this has accelerated the adoption of automated solutions to take the place of (or augment) inefficient and cumbersome SIEMs."", ""With an estimated 80% of these threats being common across most organizations, today's SOCs are able to confidently rely on automation to cover this large percentage of threat signals."", 'But, while it is true that automation can greatly improve the efficiency and effectiveness of security teams, it will never be able to cover all detection and response use cases infallibly.', 'In the recently released GigaOm Radar for Autonomous Security Operations Center (SOC), they accurately state that ""the SOC will not—and should not—be fully autonomous.""', 'As more vendors attempt to challenge the dominant players in the SIEM category, demand is increasing for solutions that offer automation, which can cover 80%, while also offering customization capabilities to cover bespoke use cases - the remaining 20%.', 'With the continual surge in global data creation, organizations are inevitably seeing an uptick in the number of alerts managed by security teams.', 'This may seem daunting for overworked security teams, but advanced vendor offerings are implementing automation across various stages of the SOC workflow, helping teams enhance their speed and effectiveness.', 'The four key phases where we are seeing automation are:', 'Modern SIEM replacement vendors, such as Hunters, leverage pre-built detection rules, integrate threat intelligence feeds, and automatically enrich and cross-correlate leads. These automated processes alleviate large amounts of tedious workloads, empowering security teams to easily manage the large majority of alerts.', 'Although automating the above phases of the workflow have been massive in boosting efficiencies for many SOCs, there will always remain the need for a certain degree of customization.', 'Each organization has bespoke needs and requirements depending on industry- or company-specific use cases. This means that even if automated and built-in capabilities can address 80% of the general use cases and tasks, additional capabilities are needed to cover the remaining 20%.', '""Customization"" can mean a lot of different things, but the main requirement for security teams is that they have both the flexibility to cover unique use cases and the ability to scale their capabilities. Let\'s look at a few examples of use cases where this can be beneficial:', 'Building out an effective SOC has always been, and will continue to be, a nuanced effort.', 'There is no one-size-fits-all solution when it comes to security tools. It is important to offer ways for organizations to not just customize for their use cases, but it is vital that they are able to combine this ""customization"" with the already existing automated capabilities that vendors offer.', 'It has become a necessity to look for vendors that can offer both a hands-on approach to customizing tools, but to do so in a way to bolster the autonomous portions of their offerings.', ""SIEM replacement vendors like Hunters, which have been named leaders in GigaOm's previously mentioned report on autonomous SOC, are known for their easy-to-use and pre-built capabilities. And, to ensure that they serve the needs of security teams, are continuing to add innovative customization features that allow organizations to tailor their security strategy to their unique requirements."", 'Covering the 80% is vital, but addressing the remaining 20% will set your security team above the rest.', 'Sign up for free and start receiving your daily dose of cybersecurity news, insights and tips.']","['GigaOm Radar', 'SIEM', 'workflow', 'tools', 'Radar', 'SOC teams', 'Autonomous Security Operations Center', 'automated', 'security', 'alert', 'automation']","['GigaOm Radar', 'G Radar', 'SOCs', 'SIEM', 'Covering the 80%', 'SOC workflow', 'S', 'Customization', 'SOC', 'built-in', 'cybersecurity news', 'alerts', 'cyecurity', 'security tools', 'autonomous portions', 'SIEMs.', 'automation', 'response']","['SIEM', 'and', 'SIE', 'global data creation', '- - fits - all', 'SOC', 'overworked security teams', '##ybersecurity', 'automation']"
"[""Cybersecurity researchers have discovered a stealthy backdoor named Effluence that's deployed following the successful exploitation of a recently disclosed security flaw in Atlassian Confluence Data Center and Server."", '""The malware acts as a persistent backdoor and is not remediated by applying patches to Confluence,"" Aon\'s Stroz Friedberg Incident Response Services said in an analysis published earlier this week.', '""The backdoor provides capability for lateral movement to other network resources in addition to exfiltration of data from Confluence. Importantly, attackers can access the backdoor remotely without authenticating to Confluence.""', 'The attack chain documented by the cybersecurity entity entailed the exploitation of CVE-2023-22515 (CVSS score: 10.0), a critical bug in Atlassian that could be abused to create unauthorized Confluence administrator accounts and access Confluence servers.', 'Atlassian has since disclosed a second flaw known as CVE-2023-22518 (CVSS score: 10.0) that an attacker can also take advantage of to set up a rogue administrator account, resulting in a complete loss of confidentiality, integrity, and availability.', 'What makes the latest attack stand out is that the adversary gained initial access via CVE-2023-22515 and embedded a novel web shell that grants persistent remote access to every web page on the server, including the unauthenticated login page, without the need for a valid user account.', 'The web shell, made up of a loader and payload, is passive, allowing requests to pass through it unnoticed until a request matching a specific parameter is provided, at which point it triggers its malicious behavior by executing a series of actions.', 'This comprises creating a new admin account, purging logs to cover up the forensic trail, running arbitrary commands on the underlying server, enumerating, reading, and deleting files, and compiling extensive information about the Atlassian environment.', 'The loader component, per Aon, acts as a normal Confluence plugin and is responsible for decrypting and launching the payload.', '""Several of the web shell functions depend on Confluence-specific APIs,"" security researcher Zachary Reichert said.', '""However, the plugin and the loader mechanism appear to depend only on common Atlassian APIs and are potentially applicable to JIRA, Bitbucket, or other Atlassian products where an attacker can install the plugin.""', 'Sign up for free and start receiving your daily dose of cybersecurity news, insights and tips.']","['Atlassian', 'Server', 'administrator account', 'plugin', 'JIRA', 'Confluence', 'Atlassian Confluence', 'API', 'Data Center', 'loader', 'administrator accounts', 'server']","['Stroz Frberg', 'Atlassian', 'web shell', 'CVE-2023-22518', 'shell', 'cyecurity', 'JIRA', 'cybersecurity news', 'Confluence', 'backdoor', 'Atlassian Confluence', 'J']","['maware', 'security flaw', 'loss of confidentiality', 'remote access', 'Confluence', '##ybersecurity', 'backdoor', 'forensic trail', 'bug', 'rogue', 'persistent backdoor']"
