Text,entities,entity_types,Combined
"Specifies the state of the keyboard modifiers like Shift Lock , Num Lock , Scroll Lock or Insert mode .","['Num Lock', 'Scroll Lock']","['Device', 'Device']","['Num Lock', 'Scroll Lock', 'Num Lock', 'Scroll Lock']"
SAM DOS for MGT 's SAM Coupé was backwards-compatible with GDOS and G+DOS .,['SAM Coupé'],['Device'],"['SAM Coupé', 'SAM Coupé']"
"Smashing Drive was probably not an easy game to port due to so much happening on the screen , and to its credit , the game never bogs down .",['Smashing Drive'],['Device'],"['Smashing Drive', 'Smashing Drive']"
"Although CP/M provided some hardware abstraction to standardize the interface to disk I/O or console I/O , application programs still typically required installation to make use of all the features of such equipment as printers and terminals .",['console'],['Device'],"['console', 'console']"
The Ubislate 7 Series Tablet has a seven-inch touchscreen with 800×480 pixel resolution and uses Cortex A8 800Mhz processor ( 256 MB RAM ) while the others have Cortex A8 1GHz processor with 512 MB RAM .,"['Tablet', 'touchscreen']","['Device', 'Device']","['touchscreen', 'Tablet', 'touchscreen']"
"Model 2 has a storage capacity of 20 million alphanumeric characters ( 120,000,000 bits ) on 50 disks .",['disks'],['Device'],"['disks', 'disks']"
Cnet.CES : Samsung shows its Series 5 ultrabook and updated Series 9 notebook .,['ultrabook'],['Device'],"['ultrabook', 'Series 9', 'Series 5', 'ultrabook', 'notebook']"
"However , a commonly usable microassembler for today 's CPUs is not available to manipulate the microcode .",['microcode'],['Device'],"['microassembler', 'microcode']"
"As with the keyboard , it is compatible with the older TRS-80 and Tandy color computer models , but not compatible with the IBM standard 15-pin male game port .","['TRS-80', 'Tandy color computer']","['Device', 'Device']","['TRS-80', 'Tandy color computer', 'TRS - 80', 'Tandy color computer']"
"Although it was late to market , Aladdin Systems introduced the completely new StuffIt X format in September 2002 with StuffIt Deluxe 7.0 for Macintosh .",['Macintosh'],['Device'],"['Macintosh', 'Macintosh']"
It was released as Bust-A-Move 3 DX in Europe ( versions for the Game Boy and Microsoft Windows were exclusively released there ) and Bust-A-Move 99 in the United States .,['Game Boy'],['Device'],"['Game Boy', 'Game Boy']"
"In February 1991 , AOL for DOS was launched using a GeoWorks interface followed a year later by AOL for Windows .",['DOS'],['Device'],"['DOS', 'DOS']"
"In response to this and to similar complaints about Indiana Jones and the Temple of Doom , Spielberg suggested that the Motion Picture Association of America ( MPAA ) alter its rating system , which it did within two months of the film 's release , creating a new PG-13 rating .",['Indiana Jones and the Temple of Doom'],['Device'],"['Indiana Jones and the Temple of Doom', 'Indiana Jones and the Temple of Doom']"
"It was again the best-selling PlayStation game of 1999 in the United States , where it sold units and grossed an estimated that year , adding up to sales and about revenue in the United States by 1999 .",['best-selling PlayStation game'],['Device'],"['PlayStation', 'best PlayStation game']"
"In the OS/2 subsystem of Windows NT , what appeared as CONFIG.SYS to OS/2 programs was actually stored in the registry .",['Windows NT'],['Device'],"['Windows NT', 'Windows NT']"
"Obviously , the simple estimate above fails when the offset parameter becomes small compared to the size of cladding .",['cladding'],['Device'],"['cladding', 'cladding']"
"Some cases have a - book - -like form , with a cover that the user opens to use the device ; when the cover is closed , it protects the screen .",['screen'],['Device'],"['screen', 'screen']"
This version came with a PDS compatibility card with an Intel 80486 DX2/66 processor ( without L2 cache ) and a single SIMM RAM slot that uses the same type of RAM as in the 6100 itself .,"['PDS', 'compatibility card']","['Device', 'Device']","['6100', 'PDS', 'compatibility card']"
The functionality under OS/2 differs significantly from that under DOS .,['DOS'],['Device'],"['DOS', 'DOS']"
"The MSP430 also uses six different low-power modes , which can disable unneeded clocks and CPU .",['CPU'],['Device'],"['MSP430', 'CPU']"
"The IEEE 1902.1-2009 standard is a wireless data communication protocol also known as RuBee , operates within the Low Frequency radio wave range of 30 – 900kHz .","['IEEE 1902.1-2009', 'RuBee']","['Device', 'Device']","['RuBee', 'RuBee']"
