Text,entities,entity_types,UniNER
"Spyware , which interferes with networking software commonly causes difficulty connecting to the Internet .",['Spyware'],['CWE_Other'],"defaultdict(<class 'list'>, {'CWE_Other': ['[]']})"
Methods to prevent session hijacking include :,['session hijacking'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"At the end of 2018 , millions of systems were still vulnerable to EternalBlue .",['EternalBlue'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Compared to the vertical privilege escalation , horizontal requires no upgrading the privilege of accounts .",['privilege escalation'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Most , if not all , ORMs , automatically handle the escaping needed to prevent SQL injection attacks , as a part of the framework 's query API .",['SQL injection attacks'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"XML External Entity attack , or simply XXE attack , is a type of attack against an application that parses XML input .","['XML External Entity attack', 'XXE attack']","['Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
The spyware typically links itself to each location in the registry that allows execution .,['spyware'],['CWE_Other'],"defaultdict(<class 'list'>, {'CWE_Other': ['[]']})"
"Many users habitually ignore these purported contracts , but spyware companies such as Claria say these demonstrate that users have consented .",['spyware'],['CWE_Other'],"defaultdict(<class 'list'>, {'CWE_Other': ['[]']})"
"Pacman is a side-channel vulnerability in certain ARM CPUs that was made public by Massachusetts Institute of Technology security researchers on June 10 , 2021 .",['Pacman'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Lazy FPU state leak ( ) , also referred to as Lazy FP State Restore or LazyFP , is a security vulnerability affecting Intel Core CPUs .","['Lazy FPU state leak', 'Lazy FP State Restore', 'LazyFP']","['Wiki_Exploit', 'Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Hertzbleed exploits execution time differences caused by dynamic frequency scaling , a CPU feature which changes the processor 's frequency to maintain power consumption and temperature constraints .",['Hertzbleed'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"The rootkit was discovered after the intruders installed a faulty update , which caused SMS texts to be undelivered , leading to an automated failure report being generated .",['rootkit'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"More than seven years after its release , Microsoft released a patch that fixed the hole exploited by SMBRelay .",['SMBRelay'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
LDAP injection occurs when user input is not properly sanitized and then used as part of a dynamically generated LDAP filter .,['LDAP injection'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
