Text,entities,entity_types,Combined
"For example , for the array of values [ 2 , 1 , 3 , 4 , 1 , 2 , 1 , 5 , 4 ] , the contiguous subarray with the largest sum is [ 4 , 1 , 2 , 1 ] , with sum 6 .",['array'],['Data_Structure'],"['array', 'array']"
Denise is programmed to fetch planar video data from one to five bitplanes and translate that into a color lookup .,"['planar', 'color lookup']","['Device', 'Data_Structure']","['planar', 'color lookup']"
A big difference between PM quadtrees and edge quadtrees is that the cell under consideration is not subdivided if the segments meet at a vertex in the cell .,"['quadtrees', 'quadtrees']","['Data_Structure', 'Data_Structure']","['PM quadtrees', 'edge quadtrees', 'quadtree', 'quadtree']"
"Wheel and axle : Hoist , winch , rack and pinion , chain drive , belt drive , rigid chain and rigid belt actuators operate on the principle of the wheel and axle . Cam : Cam actuators function on a principle similar to that of the wedge , but provide relatively limited travel .","['Hoist', 'rigid chain', 'rigid belt actuators', 'Cam', 'Cam actuators']","['Algorithm', 'Algorithm', 'Algorithm', 'Data_Structure', 'Algorithm']","['Hoist', 'rigid chain', 'rigid belt actuators', 'Cam', 'Cam actuators']"
"MUMPS ( "" Massachusetts General Hospital Utility Multi-Programming System "" ) , or M , is an imperative , high-level programming language with an integrated transaction processing key – value database .","['MUMPS', 'Multi-Programming', 'M', 'imperative', 'key – value database']","['Language', 'Operating_System', 'Language', 'Application', 'Data_Structure']","['MUMPS', 'M', 'MUMPS', 'imperative', 'high - level programming language', 'transaction processing', 'key – value database']"
"The Amiga natively supports indexed color , where a pixel 's color value does not carry any RGB hue information but instead is an index to a colour palette ( a collection of unique color values ) .","['Amiga', 'indexed color', 'colour palette']","['Device', 'Data_Structure', 'Data_Structure']","['Amiga', 'indexed color', 'colour palette']"
A tree-walking automaton ( TWA ) is a type of finite automaton that deals with tree structures rather than strings .,"['tree-walking automaton', 'finite automaton', 'tree structures']","['Application', 'Architecture', 'Data_Structure']","['tree structures', 'tree - walking automaton', 'finite automaton', 'tree structures']"
"Like mentioned above , elementary expansion modules are Basic 6 , a BASIC language interpreter and Video 32 , a video generator , producing 32 columns and 32 rows of text and semigraphic characters .",['semigraphic'],['Data_Structure'],['semigraphic']
Each thread then repeatedly selects two random positions in two random vectors and swaps them .,['vectors'],['Data_Structure'],['random vectors']
Deleting k from a balanced binary search tree that contains O(logM ) elements also takes O(loglogM ) time .,['balanced binary search tree'],['Data_Structure'],"['balanced binary search tree', 'balanced binary search tree']"
"However , using a too simple function , such as T[i] = 255-i , partly defeats the usability as a hash function as anagrams will result in the same hash value ; using a too complex function , on the other hand , will affect speed negatively .","['hash function', 'hash value']","['Error_Name', 'Error_Name']","['hash function', 'hash value']"
